method,acc,acc_final,accuracy_delta,n_recovered,n_harmed,net_recovery_count,recovery_rate,harm_rate,oracle_gap,selection_regret
RECENCY,0.2864583333333333,0.13020833333333334,0.15625,35,5,30,0.20958083832335328,0.2,0.6197916666666667,0.6839080459770115
MAX_CONFIDENCE,0.8333333333333334,0.13020833333333334,0.703125,135,0,135,0.8083832335329342,0.0,0.07291666666666663,0.08045977011494253
MIN_ENTROPY,0.7864583333333334,0.13020833333333334,0.65625,126,0,126,0.7544910179640718,0.0,0.11979166666666663,0.13218390804597702
MAX_TOP1_TOP2_MARGIN,0.8177083333333334,0.13020833333333334,0.6875,132,0,132,0.7904191616766467,0.0,0.08854166666666663,0.09770114942528736
CONFIDENCE_X_RECENCY,0.8020833333333334,0.13020833333333334,0.671875,129,0,129,0.7724550898203593,0.0,0.10416666666666663,0.11494252873563218
LOGIT_ENSEMBLE,0.5104166666666666,0.13020833333333334,0.3802083333333333,76,3,73,0.4550898203592814,0.12,0.39583333333333337,0.4425287356321839
FINAL_PLUS_HISTORICAL,0.4739583333333333,0.13020833333333334,0.34375,69,3,66,0.41317365269461076,0.12,0.4322916666666667,0.4827586206896552
