model,task,depth,ctx,kv,spec,rep,prompt_n,tps,draft_n,draft_accepted,accept_rate
moe,class,256k,262144,q4_0,nospec,0,255586,32.57922561787044,,,
moe,class,256k,262144,q4_0,nospec,1,255586,32.82658328811775,,,
moe,class,256k,262144,q4_0,nospec,2,255586,32.770706425738375,,,
moe,class,256k,262144,q4_0,mtp,0,255586,90.63024270778998,361,358,0.9916897506925207
moe,class,256k,262144,q4_0,mtp,1,255586,90.23090087534,361,358,0.9916897506925207
moe,class,256k,262144,q4_0,mtp,2,255586,90.31866230434217,361,358,0.9916897506925207
